# Station=PAL Year=2024 | Source: PAL_2024_all.txt
# Filters: Zenith<=87.0; FEATURES complete; ghi_clear>10.0; ghi>=0; clearsky==1; aeronet_aod550+aeronet_alpha present
# Total=3466 | Test fraction=0.5 | Seed=42
# TRAIN POOL (1733 rows)
time_utc	ghi	bni	dhi	ghi_clear	bni_clear	dhi_clear	zenith	merra_ALPHA	merra_ALBEDO	merra_TQV	merra_TO3	merra_PS	merra_BETA	clearsky	aeronet_aod550	aeronet_alpha
2024-01-11 08:59:00	128	561	38	121.319745397	521.249281098	41.278362198	81.1668937354	1.62762601972	0.205316778521	0.938258212407	0.322423377991	1017.47269792	0.0249966771486	1	0.055851	1.572456
2024-01-11 09:08:00	146	602	40	138.691238503	557.439146043	43.8031835407	80.1993097964	1.63017181158	0.20361387531	0.926129964193	0.323347671509	1017.53068229	0.0240108951797	1	0.051651	1.541354
2024-01-11 09:14:00	156	615	41	150.113188911	579.44127482	45.2647553627	79.5750478055	1.63186900616	0.202478606502	0.918044465383	0.323963867187	1017.56933854	0.0233553412577	1	0.054936	1.545716
2024-01-11 09:17:00	162	625	42	155.761988493	589.861860002	45.9340336316	79.2693243804	1.63271760345	0.201910972099	0.914001715978	0.324271965027	1017.58866667	0.023028053773	1	0.054614	1.569769
2024-01-11 09:20:00	167	633	43	161.363591512	599.918353157	46.5643568482	78.9679481762	1.63356620073	0.201343337695	0.909958966573	0.324580062866	1017.60799479	0.0227010922767	1	0.054458	1.577825
2024-01-11 09:23:00	172	638	44	166.914007394	609.626758094	47.1571777541	78.6709756548	1.63441479802	0.200775703291	0.905916217168	0.324888160706	1017.62732292	0.0223744565226	1	0.057027	1.569302
2024-01-11 09:32:00	190	675	45	183.198874974	636.381009575	48.7922653115	77.8070445752	1.63582156102	0.199026001493	0.892419535319	0.325768283081	1017.6787474	0.0215143416832	1	0.049371	1.549738
2024-01-11 09:35:00	196	685	45	188.475612674	644.204896994	49.3542781558	77.5282507326	1.63496161501	0.198388169209	0.886324135462	0.326010124207	1017.68823568	0.0213653641436	1	0.049012	1.548769
2024-01-11 09:38:00	200	684	46	193.685136091	651.759020263	49.8895465255	77.2541419287	1.63410166899	0.197750336925	0.880228735606	0.326251965332	1017.69772396	0.0212162276944	1	0.053845	1.559135
2024-01-11 09:50:00	220	699	50	213.796810463	679.490526408	51.7808752011	76.2056688805	1.63066188494	0.195199007789	0.85584713618	0.327219329834	1017.73567708	0.0206180903192	1	0.058265	1.571928
2024-01-11 09:53:00	223	695	52	218.630623618	685.850207865	52.1953101843	75.9558165799	1.62980193893	0.194561175505	0.849751736323	0.327461170959	1017.74516536	0.0204681574595	1	0.065052	1.602284
2024-01-11 10:08:00	249	733	54	241.524454113	714.620928433	53.9522108069	74.7828535439	1.62550220887	0.191372014085	0.81927473704	0.328670376587	1017.79260677	0.0197160958411	1	0.059404	1.548938
2024-01-11 10:14:00	257	747	54	250.050633244	724.846054358	54.5191065306	74.3502557867	1.62378231684	0.190096349518	0.807083937327	0.329154058838	1017.81158333	0.0194141501159	1	0.057358	1.561707
2024-01-11 10:17:00	259	742	55	254.171369739	729.708198624	54.7756004444	74.142002097	1.62292237083	0.189458517234	0.80098853747	0.329395899963	1017.82107161	0.0192629365226	1	0.062515	1.545308
2024-01-11 10:26:00	267	746	57	265.945286647	743.356253195	55.4429390638	73.5500134659	1.62034253279	0.187545020382	0.782702337901	0.33012142334	1017.84953646	0.0188083313176	1	0.068749	1.574148
2024-01-11 10:35:00	276	755	59	276.797452135	755.491071324	56.0163913471	73.0081801945	1.61237483223	0.18626734366	0.765179224809	0.330638918559	1017.83134766	0.0184396360725	1	0.072321	1.602231
2024-01-11 10:38:00	275	737	60	280.203405653	759.211628429	56.1912183197	72.8389275835	1.60828216871	0.186011003455	0.759541676839	0.33075594279	1017.81284375	0.0183391256493	1	0.081716	1.60462
2024-01-11 10:56:00	295	758	64	298.363570398	778.948353184	56.9524312964	71.9456319656	1.58372618755	0.184472962221	0.72571638902	0.331458088175	1017.70182031	0.0177233152195	1	0.082337	1.603423
